Location,Year,Cut,Block,Column,Row,Position,ID,Treatment,ClipWet,ClipWetCorrected,ClipDry,ClipDryCorrected,DM_Pct,DM_PctCorrected,Yield_TonAcre,Yield_MgHa
WA,2018,1,1,1,1,1,10101,123,506.17,,156.60,94.90,30.94,18.75,1.82,4.08
WA,2018,1,1,2,1,5,10105,126,362.11,,76.49,76.49,21.12,21.12,1.47,3.29
WA,2018,1,1,3,1,9,10109,77,405.20,,84.49,84.49,20.85,20.85,1.62,3.63
WA,2018,1,1,4,1,13,10113,133,526.75,,110.16,110.16,20.91,20.91,2.11,4.74
WA,2018,1,1,5,1,17,10117,37,555.37,,114.28,114.28,20.58,20.58,2.19,4.91
WA,2018,1,1,1,2,2,10102,29,514.69,,106.69,106.69,20.73,20.73,2.05,4.59
WA,2018,1,1,2,2,6,10106,191,487.14,,110.38,110.38,22.66,22.66,2.12,4.74
WA,2018,1,1,3,2,10,10110,69,539.81,,112.43,112.43,20.83,20.83,2.16,4.83
WA,2018,1,1,4,2,14,10114,125,564.34,,121.42,121.42,21.52,21.52,2.33,5.22
WA,2018,1,1,5,2,18,10118,13,593.98,,122.88,122.88,20.69,20.69,2.36,5.28
WA,2018,1,1,1,3,3,10103,162,540.98,,110.79,110.79,20.48,20.48,2.13,4.76
WA,2018,1,1,2,3,7,10107,159,595.33,,114.64,114.64,19.26,19.26,2.20,4.93
WA,2018,1,1,3,3,11,10111,121,513.98,,107.69,107.69,20.95,20.95,2.07,4.63
WA,2018,1,1,4,3,15,10115,202,475.85,,96.86,96.86,20.36,20.36,1.86,4.16
WA,2018,1,1,5,3,19,10119,116,512.44,,104.47,104.47,20.39,20.39,2.00,4.49
WA,2018,1,1,1,4,4,10104,201,497.43,,104.35,104.35,20.98,20.98,2.00,4.49
WA,2018,1,1,2,4,8,10108,139,530.69,,105.40,105.40,19.86,19.86,2.02,4.53
WA,2018,1,1,3,4,12,10112,84,473.90,,91.49,91.49,19.31,19.31,1.76,3.93
WA,2018,1,1,4,4,16,10116,32,429.21,,89.82,89.82,20.93,20.93,1.72,3.86
WA,2018,1,1,5,4,20,10120,164,607.50,,121.71,121.71,20.03,20.03,2.34,5.23
WA,2018,1,2,1,1,1,10201,35,450.85,,93.69,93.69,20.78,20.78,1.80,4.03
WA,2018,1,2,2,1,5,10205,202,446.73,,94.01,94.01,21.04,21.04,1.80,4.04
WA,2018,1,2,3,1,9,10209,158,616.60,,118.29,118.29,19.18,19.18,2.27,5.08
WA,2018,1,2,4,1,13,10213,82,543.05,,120.25,120.25,22.14,22.14,2.31,5.17
WA,2018,1,2,5,1,17,10217,6,395.62,,90.46,90.46,22.87,22.87,1.74,3.89
WA,2018,1,2,1,2,2,10202,146,494.95,,105.51,105.51,21.32,21.32,2.02,4.54
WA,2018,1,2,2,2,6,10206,104,553.61,,115.74,115.74,20.91,20.91,2.22,4.98
WA,2018,1,2,3,2,10,10210,195,633.20,,128.45,128.45,20.29,20.29,2.46,5.52
WA,2018,1,2,4,2,14,10214,201,593.24,,107.27,107.27,18.08,18.08,2.06,4.61
WA,2018,1,2,5,2,18,10218,52,509.34,,105.38,105.38,20.69,20.69,2.02,4.53
WA,2018,1,2,1,3,3,10203,43,649.50,,129.20,129.20,19.89,19.89,2.48,5.55
WA,2018,1,2,2,3,7,10207,76,612.30,,122.66,122.66,20.03,20.03,2.35,5.27
WA,2018,1,2,3,3,11,10211,78,705.60,,139.20,139.20,19.73,19.73,2.67,5.98
WA,2018,1,2,4,3,15,10215,34,521.07,,110.12,110.12,21.13,21.13,2.11,4.73
WA,2018,1,2,5,3,19,10219,90,551.18,,113.40,113.40,20.57,20.57,2.18,4.87
WA,2018,1,2,1,4,4,10204,24,480.23,,98.15,98.15,20.44,20.44,1.88,4.22
WA,2018,1,2,2,4,8,10208,107,382.04,,81.59,81.59,21.36,21.36,1.57,3.51
WA,2018,1,2,3,4,12,10212,3,674.40,,145.49,145.49,21.57,21.57,2.79,6.25
WA,2018,1,2,4,4,16,10216,156,344.19,,69.40,69.40,20.16,20.16,1.33,2.98
WA,2018,1,2,5,4,20,10220,140,405.97,,88.56,88.56,21.81,21.81,1.70,3.81
WA,2018,1,3,1,1,1,10301,91,401.60,,85.01,85.01,21.17,21.17,1.63,3.65
WA,2018,1,3,2,1,5,10305,119,517.23,,115.86,115.86,22.40,22.40,2.22,4.98
WA,2018,1,3,3,1,9,10309,114,561.62,,128.09,128.09,22.81,22.81,2.46,5.51
WA,2018,1,3,4,1,13,10313,66,458.93,,157.10,95.40,34.23,20.79,1.83,4.10
WA,2018,1,3,5,1,17,10317,26,487.93,,164.30,102.60,33.67,21.03,1.97,4.41
WA,2018,1,3,1,2,2,10302,201,643.20,,188.20,126.50,29.26,19.67,2.43,5.44
WA,2018,1,3,2,2,6,10306,189,610.50,,180.30,118.60,29.53,19.43,2.28,5.10
WA,2018,1,3,3,2,10,10310,50,644.90,,189.40,127.70,29.37,19.80,2.45,5.49
WA,2018,1,3,4,2,14,10314,12,616.20,,187.00,125.30,30.35,20.33,2.40,5.39
WA,2018,1,3,5,2,18,10318,182,336.13,,129.70,68.00,38.59,20.23,1.30,2.92
WA,2018,1,3,1,3,3,10303,40,685.50,,136.77,136.77,19.95,19.95,2.62,5.88
WA,2018,1,3,2,3,7,10307,145,373.88,,134.20,72.50,35.89,19.39,1.39,3.12
WA,2018,1,3,3,3,11,10311,111,587.58,,175.20,113.50,29.82,19.32,2.18,4.88
WA,2018,1,3,4,3,15,10315,197,658.90,,195.90,134.20,29.73,20.37,2.58,5.77
WA,2018,1,3,5,3,19,10319,33,382.88,,84.33,84.33,22.03,22.03,1.62,3.62
WA,2018,1,3,1,4,4,10304,177,660.40,,188.00,126.30,28.47,19.12,2.42,5.43
WA,2018,1,3,2,4,8,10308,186,542.84,,113.09,113.09,20.83,20.83,2.17,4.86
WA,2018,1,3,3,4,12,10312,202,515.86,,98.26,98.26,19.05,19.05,1.89,4.22
WA,2018,1,3,4,4,16,10316,185,776.20,,158.52,158.52,20.42,20.42,3.04,6.81
WA,2018,1,3,5,4,20,10320,36,416.36,,90.89,90.89,21.83,21.83,1.74,3.91
WA,2018,1,4,1,1,1,10401,149,532.50,,168.00,106.30,31.55,19.96,2.04,4.57
WA,2018,1,4,2,1,5,10405,53,356.36,,132.90,71.20,37.29,19.98,1.37,3.06
WA,2018,1,4,3,1,9,10409,73,379.36,,143.50,81.80,37.83,21.56,1.57,3.52
WA,2018,1,4,4,1,13,10413,201,436.18,,147.80,86.10,33.89,19.74,1.65,3.70
WA,2018,1,4,5,1,17,10417,100,488.86,,163.00,101.30,33.34,20.72,1.94,4.35
WA,2018,1,4,1,2,2,10402,115,553.22,,174.20,112.50,31.49,20.34,2.16,4.84
WA,2018,1,4,2,2,6,10406,165,458.98,,149.10,87.40,32.49,19.04,1.68,3.76
WA,2018,1,4,3,2,10,10410,131,670.10,,199.00,137.30,29.70,20.49,2.63,5.90
WA,2018,1,4,4,2,14,10414,190,730.00,,204.60,142.90,28.03,19.58,2.74,6.14
WA,2018,1,4,5,2,18,10418,120,670.60,,193.60,131.90,28.87,19.67,2.53,5.67
WA,2018,1,4,1,3,3,10403,136,628.80,,184.90,123.20,29.41,19.59,2.36,5.30
WA,2018,1,4,2,3,7,10407,202,550.70,,162.90,101.20,29.58,18.38,1.94,4.35
WA,2018,1,4,3,3,11,10411,89,624.50,,187.90,126.20,30.09,20.21,2.42,5.42
WA,2018,1,4,4,3,15,10415,68,436.78,,148.50,86.80,34.00,19.87,1.67,3.73
WA,2018,1,4,5,3,19,10419,61,560.31,,170.20,108.50,30.38,19.36,2.08,4.66
WA,2018,1,4,1,4,4,10404,22,596.11,,191.90,130.20,32.19,21.84,2.50,5.60
WA,2018,1,4,2,4,8,10408,56,595.61,,189.20,127.50,31.77,21.41,2.45,5.48
WA,2018,1,4,3,4,12,10412,94,605.60,,191.20,129.50,31.57,21.38,2.49,5.57
WA,2018,1,4,4,4,16,10416,196,694.80,,200.00,138.30,28.79,19.91,2.65,5.94
WA,2018,1,4,5,4,20,10420,179,549.68,,167.80,106.10,30.53,19.30,2.04,4.56
WA,2018,1,5,1,1,1,10501,124,523.20,,172.60,110.90,32.99,21.20,2.13,4.77
WA,2018,1,5,2,1,5,10505,181,523.62,,177.10,115.40,33.82,22.04,2.21,4.96
WA,2018,1,5,3,1,9,10509,127,414.60,,148.40,86.70,35.79,20.91,1.66,3.73
WA,2018,1,5,4,1,13,10513,99,578.51,,180.00,118.30,31.11,20.45,2.27,5.09
WA,2018,1,5,5,1,17,10517,130,624.90,,192.80,131.10,30.85,20.98,2.52,5.64
WA,2018,1,5,1,2,2,10502,174,565.09,,177.90,116.20,31.48,20.56,2.23,4.99
WA,2018,1,5,2,2,6,10506,108,649.50,,188.90,127.20,29.08,19.58,2.44,5.47
WA,2018,1,5,3,2,10,10510,17,467.82,,152.30,90.60,32.56,19.37,1.74,3.89
WA,2018,1,5,4,2,14,10514,202,682.50,,191.40,129.70,28.04,19.00,2.49,5.58
WA,2018,1,5,5,2,18,10518,87,413.40,,144.00,82.30,34.83,19.91,1.58,3.54
WA,2018,1,5,1,3,3,10503,128,540.74,,167.60,105.90,30.99,19.58,2.03,4.55
WA,2018,1,5,2,3,7,10507,14,615.50,,180.00,118.30,29.24,19.22,2.27,5.09
WA,2018,1,5,3,3,11,10511,172,695.70,,192.80,131.10,27.71,18.84,2.52,5.64
WA,2018,1,5,4,3,15,10515,67,925.90,,245.70,184.00,26.54,19.87,3.53,7.91
WA,2018,1,5,5,3,19,10519,161,520.75,,168.50,106.80,32.36,20.51,2.05,4.59
WA,2018,1,5,1,4,4,10504,103,513.54,,164.90,103.20,32.11,20.10,1.98,4.44
WA,2018,1,5,2,4,8,10508,201,588.11,,175.80,114.10,29.89,19.40,2.19,4.90
WA,2018,1,5,3,4,12,10512,23,578.29,,178.00,116.30,30.78,20.11,2.23,5.00
WA,2018,1,5,4,4,16,10516,138,485.80,,164.50,102.80,33.86,21.16,1.97,4.42
WA,2018,1,5,5,4,20,10520,106,550.05,,177.70,116.00,32.31,21.09,2.23,4.99
WA,2018,1,6,1,1,1,10601,188,433.81,,96.75,96.75,22.30,22.30,1.86,4.16
WA,2018,1,6,2,1,5,10605,154,512.74,,110.81,110.81,21.61,21.61,2.13,4.76
WA,2018,1,6,3,1,9,10609,183,473.93,,102.24,102.24,21.57,21.57,1.96,4.39
WA,2018,1,6,4,1,13,10613,201,533.78,,123.07,123.07,23.06,23.06,2.36,5.29
WA,2018,1,6,5,1,17,10617,71,328.60,,67.20,67.20,20.45,20.45,1.29,2.89
WA,2018,1,6,1,2,2,10602,151,566.20,,116.49,116.49,20.57,20.57,2.24,5.01
WA,2018,1,6,2,2,6,10606,5,506.64,,120.93,120.93,23.87,23.87,2.32,5.20
WA,2018,1,6,3,2,10,10610,117,566.47,,126.07,126.07,22.26,22.26,2.42,5.42
WA,2018,1,6,4,2,14,10614,46,548.41,,111.28,111.28,20.29,20.29,2.14,4.78
WA,2018,1,6,5,2,18,10618,41,512.70,,110.85,110.85,21.62,21.62,2.13,4.76
WA,2018,1,6,1,3,3,10603,19,484.37,,106.52,106.52,21.99,21.99,2.04,4.58
WA,2018,1,6,2,3,7,10607,80,509.44,,116.31,116.31,22.83,22.83,2.23,5.00
WA,2018,1,6,3,3,11,10611,118,602.10,,122.45,122.45,20.34,20.34,2.35,5.26
WA,2018,1,6,4,3,15,10615,113,558.28,,109.99,109.99,19.70,19.70,2.11,4.73
WA,2018,1,6,5,3,19,10619,95,506.69,,103.78,103.78,20.48,20.48,1.99,4.46
WA,2018,1,6,1,4,4,10604,202,536.27,,94.75,94.75,17.67,17.67,1.82,4.07
WA,2018,1,6,2,4,8,10608,176,557.58,,121.26,121.26,21.75,21.75,2.33,5.21
WA,2018,1,6,3,4,12,10612,79,601.30,,134.95,134.95,22.44,22.44,2.59,5.80
WA,2018,1,6,4,4,16,10616,25,427.85,,92.76,92.76,21.68,21.68,1.78,3.99
WA,2018,1,6,5,4,20,10620,171,494.62,,114.63,114.63,23.18,23.18,2.20,4.93
WA,2018,1,7,1,1,1,10701,38,249.51,,64.88,64.88,26.00,26.00,1.25,2.79
WA,2018,1,7,2,1,5,10705,72,351.22,,80.48,80.48,22.91,22.91,1.54,3.46
WA,2018,1,7,3,1,9,10709,27,349.08,,85.65,85.65,24.54,24.54,1.64,3.68
WA,2018,1,7,4,1,13,10713,8,453.11,,89.16,89.16,19.68,19.68,1.71,3.83
WA,2018,1,7,5,1,17,10717,18,325.84,,83.06,83.06,25.49,25.49,1.59,3.57
WA,2018,1,7,1,2,2,10702,202,461.71,,95.78,95.78,20.74,20.74,1.84,4.12
WA,2018,1,7,2,2,6,10706,11,365.61,,84.67,84.67,23.16,23.16,1.62,3.64
WA,2018,1,7,3,2,10,10710,45,333.55,,79.92,79.92,23.96,23.96,1.53,3.44
WA,2018,1,7,4,2,14,10714,51,377.97,,87.82,87.82,23.23,23.23,1.69,3.77
WA,2018,1,7,5,2,18,10718,129,396.69,,92.84,92.84,23.40,23.40,1.78,3.99
WA,2018,1,7,1,3,3,10703,150,618.60,,124.13,124.13,20.07,20.07,2.38,5.34
WA,2018,1,7,2,3,7,10707,135,505.25,,113.48,113.48,22.46,22.46,2.18,4.88
WA,2018,1,7,3,3,11,10711,64,391.02,,85.70,85.70,21.92,21.92,1.64,3.68
WA,2018,1,7,4,3,15,10715,201,524.36,,117.39,117.39,22.39,22.39,2.25,5.05
WA,2018,1,7,5,3,19,10719,74,417.15,,85.23,85.23,20.43,20.43,1.64,3.66
WA,2018,1,7,1,4,4,10704,143,520.16,,119.51,119.51,22.98,22.98,2.29,5.14
WA,2018,1,7,2,4,8,10708,54,506.21,,120.21,120.21,23.75,23.75,2.31,5.17
WA,2018,1,7,3,4,12,10712,163,483.37,,103.14,103.14,21.34,21.34,1.98,4.43
WA,2018,1,7,4,4,16,10716,192,600.80,,116.99,116.99,19.47,19.47,2.24,5.03
WA,2018,1,7,5,4,20,10720,70,533.43,,117.56,117.56,22.04,22.04,2.26,5.05
WA,2018,1,8,1,1,1,10801,170,373.14,,94.26,94.26,25.26,25.26,1.81,4.05
WA,2018,1,8,2,1,5,10805,44,388.02,,93.21,93.21,24.02,24.02,1.79,4.01
WA,2018,1,8,3,1,9,10809,10,366.65,,89.68,89.68,24.46,24.46,1.72,3.85
WA,2018,1,8,4,1,13,10813,75,345.50,,87.73,87.73,25.39,25.39,1.68,3.77
WA,2018,1,8,5,1,17,10817,202,238.25,,58.84,58.84,24.70,24.70,1.13,2.53
WA,2018,1,8,1,2,2,10802,112,418.52,,104.46,104.46,24.96,24.96,2.00,4.49
WA,2018,1,8,2,2,6,10806,180,502.49,,109.96,109.96,21.88,21.88,2.11,4.73
WA,2018,1,8,3,2,10,10810,169,583.80,,129.14,129.14,22.12,22.12,2.48,5.55
WA,2018,1,8,4,2,14,10814,28,361.22,,77.08,77.08,21.34,21.34,1.48,3.31
WA,2018,1,8,5,2,18,10818,48,394.88,,94.11,94.11,23.83,23.83,1.81,4.05
WA,2018,1,8,1,3,3,10803,93,382.79,,89.12,89.12,23.28,23.28,1.71,3.83
WA,2018,1,8,2,3,7,10807,137,476.81,,106.96,106.96,22.43,22.43,2.05,4.60
WA,2018,1,8,3,3,11,10811,141,550.62,,129.12,129.12,23.45,23.45,2.48,5.55
WA,2018,1,8,4,3,15,10815,47,405.84,,92.78,92.78,22.86,22.86,1.78,3.99
WA,2018,1,8,5,3,19,10819,42,330.28,,74.78,74.78,22.64,22.64,1.43,3.21
WA,2018,1,8,1,4,4,10804,98,693.60,,142.67,142.67,20.57,20.57,2.74,6.13
WA,2018,1,8,2,4,8,10808,193,576.34,,126.79,126.79,22.00,22.00,2.43,5.45
WA,2018,1,8,3,4,12,10812,58,420.40,,101.45,101.45,24.13,24.13,1.95,4.36
WA,2018,1,8,4,4,16,10816,201,460.13,,113.03,113.03,24.56,24.56,2.17,4.86
WA,2018,1,8,5,4,20,10820,194,562.56,,136.68,136.68,24.30,24.30,2.62,5.88
WA,2018,1,9,1,1,1,10901,97,380.10,,87.40,87.40,22.99,22.99,1.68,3.76
WA,2018,1,9,2,1,5,10905,184,393.85,,151.90,90.20,38.57,22.90,1.73,3.88
WA,2018,1,9,3,1,9,10909,4,205.75,,113.40,51.70,55.12,25.13,0.99,2.22
WA,2018,1,9,4,1,13,10913,132,653.40,,209.90,148.20,32.12,22.68,2.84,6.37
WA,2018,1,9,5,1,17,10917,86,432.65,,157.70,96.00,36.45,22.19,1.84,4.13
WA,2018,1,9,1,2,2,10902,31,595.31,,189.80,128.10,31.88,21.52,2.46,5.51
WA,2018,1,9,2,2,6,10906,16,463.00,,164.80,103.10,35.59,22.27,1.98,4.43
WA,2018,1,9,3,2,10,10910,202,471.66,,162.60,100.90,34.47,21.39,1.94,4.34
WA,2018,1,9,4,2,14,10914,122,410.72,,156.10,94.40,38.01,22.98,1.81,4.06
WA,2018,1,9,5,2,18,10918,20,438.80,,160.60,98.90,36.60,22.54,1.90,4.25
WA,2018,1,9,1,3,3,10903,63,356.40,,144.10,82.40,40.43,23.12,1.58,3.54
WA,2018,1,9,2,3,7,10907,201,382.78,,87.15,87.15,22.77,22.77,1.67,3.75
WA,2018,1,9,3,3,11,10911,102,552.34,,112.86,112.86,20.43,20.43,2.17,4.85
WA,2018,1,9,4,3,15,10915,173,566.80,,176.50,114.80,31.14,20.25,2.20,4.93
WA,2018,1,9,5,3,19,10919,175,562.49,,177.80,116.10,31.61,20.64,2.23,4.99
WA,2018,1,9,1,4,4,10904,110,470.94,,170.60,108.90,36.23,23.12,2.09,4.68
WA,2018,1,9,2,4,8,10908,55,446.90,,165.80,104.10,37.10,23.29,2.00,4.47
WA,2018,1,9,3,4,12,10912,7,435.53,,159.10,97.40,36.53,22.36,1.87,4.19
WA,2018,1,9,4,4,16,10916,155,603.10,,189.80,128.10,31.47,21.24,2.46,5.51
WA,2018,1,9,5,4,20,10920,187,507.28,,176.00,114.30,34.69,22.53,2.19,4.91
WA,2018,1,10,1,1,1,11001,49,416.62,,155.10,93.40,37.23,22.42,1.79,4.01
WA,2018,1,10,2,1,5,11005,57,416.52,,152.80,91.10,36.68,21.87,1.75,3.92
WA,2018,1,10,3,1,9,11009,178,465.17,,164.20,102.50,35.30,22.03,1.97,4.41
WA,2018,1,10,4,1,13,11013,85,508.86,,173.30,111.60,34.06,21.93,2.14,4.80
WA,2018,1,10,5,1,17,11017,59,395.52,,151.40,89.70,38.28,22.68,1.72,3.86
WA,2018,1,10,1,2,2,11002,92,352.32,,149.60,87.90,42.46,24.95,1.69,3.78
WA,2018,1,10,2,2,6,11006,1,348.50,,139.30,77.60,39.97,22.27,1.49,3.34
WA,2018,1,10,3,2,10,11010,21,429.15,,159.60,97.90,37.19,22.81,1.88,4.21
WA,2018,1,10,4,2,14,11014,15,535.67,,175.60,113.90,32.78,21.26,2.19,4.90
WA,2018,1,10,5,2,18,11018,105,597.31,,185.30,123.60,31.02,20.69,2.37,5.31
WA,2018,1,10,1,3,3,11003,198,471.22,,163.90,102.20,34.78,21.69,1.96,4.39
WA,2018,1,10,2,3,7,11007,166,518.80,,166.50,104.80,32.09,20.20,2.01,4.50
WA,2018,1,10,3,3,11,11011,88,486.27,,173.20,111.50,35.62,22.93,2.14,4.79
WA,2018,1,10,4,3,15,11015,148,493.95,,171.80,110.10,34.78,22.29,2.11,4.73
WA,2018,1,10,5,3,19,11019,201,384.65,,150.70,89.00,39.18,23.14,1.71,3.83
WA,2018,1,10,1,4,4,11004,96,621.80,,199.50,137.80,32.08,22.16,2.64,5.92
WA,2018,1,10,2,4,8,11008,101,608.00,,191.40,129.70,31.48,21.33,2.49,5.58
WA,2018,1,10,3,4,12,11012,142,500.03,,176.40,114.70,35.28,22.94,2.20,4.93
WA,2018,1,10,4,4,16,11016,202,607.00,,194.40,132.70,32.03,21.86,2.55,5.70
WA,2018,1,10,5,4,20,11020,153,572.31,,189.50,127.80,33.11,22.33,2.45,5.49
WA,2018,1,11,1,1,1,11101,167,563.46,,180.10,118.40,31.96,21.01,2.27,5.09
WA,2018,1,11,2,1,5,11105,2,360.10,,148.40,86.70,41.21,24.08,1.66,3.73
WA,2018,1,11,3,1,9,11109,9,430.40,,151.50,89.80,35.20,20.86,1.72,3.86
WA,2018,1,11,4,1,13,11113,60,362.73,,146.60,84.90,40.42,23.41,1.63,3.65
WA,2018,1,11,5,1,17,11117,201,539.07,,180.60,118.90,33.50,22.06,2.28,5.11
WA,2018,1,11,1,2,2,11102,202,256.07,,117.50,55.80,45.89,21.79,1.07,2.40
WA,2018,1,11,2,2,6,11106,109,393.05,,148.70,87.00,37.83,22.13,1.67,3.74
WA,2018,1,11,3,2,10,11110,147,558.65,,184.10,122.40,32.95,21.91,2.35,5.26
WA,2018,1,11,4,2,14,11114,157,562.07,,185.70,124.00,33.04,22.06,2.38,5.33
WA,2018,1,11,5,2,18,11118,65,435.37,,156.10,94.40,35.85,21.68,1.81,4.06
WA,2018,1,11,1,3,3,11103,134,404.17,,155.50,93.80,38.47,23.21,1.80,4.03
WA,2018,1,11,2,3,7,11107,83,356.19,,143.10,81.40,40.18,22.85,1.56,3.50
WA,2018,1,11,3,3,11,11111,168,363.95,,138.50,76.80,38.05,21.10,1.47,3.30
WA,2018,1,11,4,3,15,11115,62,440.59,,165.30,103.60,37.52,23.51,1.99,4.45
WA,2018,1,11,5,3,19,11119,30,375.62,,153.10,91.40,40.76,24.33,1.75,3.93
WA,2018,1,11,1,4,4,11104,152,453.55,,165.70,104.00,36.53,22.93,2.00,4.47
WA,2018,1,11,2,4,8,11108,39,627.80,,204.40,142.70,32.56,22.73,2.74,6.13
WA,2018,1,11,3,4,12,11112,160,544.38,,182.80,121.10,33.58,22.25,2.32,5.21
WA,2018,1,11,4,4,16,11116,81,561.73,,192.50,130.80,34.27,23.29,2.51,5.62
WA,2018,1,11,5,4,20,11120,144,677.70,,220.60,158.90,32.55,23.45,3.05,6.83
