Location,Year,Cut,Block,Position,ID,Treatment,MSC,DM_Pct,Height_inch,Yield_MgHa,FallDormancy-cm
ID,2019,1,1,1,20101,80,2.7,15.85,28.7,6.47,
ID,2019,1,1,2,20102,132,2.9,14.47,29.8,7.04,
ID,2019,1,1,3,20103,202,2.4,17.69,29.7,6.08,
ID,2019,1,1,4,20104,103,2.8,18.42,26.5,6.06,
ID,2019,1,1,5,20105,201,2.6,15.27,32.8,6.75,
ID,2019,1,1,6,20106,104,2.4,17.20,30.0,6.67,
ID,2019,1,1,7,20107,43,2.2,16.51,24.1,6.32,
ID,2019,1,1,8,20108,154,2.8,17.48,26.7,4.47,
ID,2019,1,1,9,20109,40,2.6,15.67,24.4,7.80,
ID,2019,1,1,10,20110,78,2.4,15.21,28.2,7.73,
ID,2019,1,1,11,20111,91,3.0,18.29,24.8,7.99,
ID,2019,1,1,12,20112,48,2.7,17.05,27.6,7.43,
ID,2019,1,1,13,20113,72,2.4,15.03,33.3,9.40,
ID,2019,1,1,14,20114,178,2.4,17.54,31.1,9.08,
ID,2019,1,1,15,20115,110,2.1,18.34,30.8,7.08,
ID,2019,1,1,16,20116,16,2.8,15.98,25.9,7.36,
ID,2019,1,1,17,20117,44,2.7,16.76,29.7,8.69,
ID,2019,1,1,18,20118,51,2.3,16.38,28.0,7.58,
ID,2019,1,1,19,20119,130,2.5,19.22,27.5,7.54,
ID,2019,1,1,20,20120,166,2.4,18.99,23.2,6.47,
ID,2019,1,2,1,20201,54,2.3,18.75,23.0,6.34,
ID,2019,1,2,2,20202,15,2.3,17.70,26.9,6.73,
ID,2019,1,2,3,20203,201,2.5,16.17,31.5,8.38,
ID,2019,1,2,4,20204,6,3.0,19.14,28.0,6.51,
ID,2019,1,2,5,20205,33,2.4,16.34,31.2,6.91,
ID,2019,1,2,6,20206,100,2.7,13.91,30.2,7.97,
ID,2019,1,2,7,20207,179,2.3,17.94,28.0,8.51,
ID,2019,1,2,8,20208,126,3.0,14.59,30.1,8.43,
ID,2019,1,2,9,20209,92,2.6,18.23,31.1,7.82,
ID,2019,1,2,10,20210,174,2.8,14.91,29.9,9.34,
ID,2019,1,2,11,20211,28,2.3,15.58,24.6,8.74,
ID,2019,1,2,12,20212,144,2.6,18.81,29.3,8.36,
ID,2019,1,2,13,20213,202,2.8,17.73,31.7,9.42,
ID,2019,1,2,14,20214,66,2.0,18.84,29.1,5.86,
ID,2019,1,2,15,20215,90,2.7,14.48,23.4,7.17,
ID,2019,1,2,16,20216,68,2.3,15.83,33.2,7.51,
ID,2019,1,2,17,20217,149,2.8,17.11,30.9,7.82,
ID,2019,1,2,18,20218,102,2.7,18.32,28.0,6.91,
ID,2019,1,2,19,20219,168,2.5,18.09,30.0,7.77,
ID,2019,1,2,20,20220,164,2.8,16.73,28.1,7.99,
ID,2019,1,3,1,20301,186,2.5,18.37,28.8,9.47,
ID,2019,1,3,2,20302,159,2.3,18.83,30.9,8.69,
ID,2019,1,3,3,20303,147,2.4,20.33,29.5,7.86,
ID,2019,1,3,4,20304,109,2.1,19.83,24.8,8.58,
ID,2019,1,3,5,20305,29,2.9,16.94,28.8,7.04,
ID,2019,1,3,6,20306,75,2.1,17.44,26.1,6.56,
ID,2019,1,3,7,20307,161,2.0,18.18,28.9,8.56,
ID,2019,1,3,8,20308,127,2.4,18.59,25.9,8.30,
ID,2019,1,3,9,20309,120,2.2,18.79,26.7,7.51,
ID,2019,1,3,10,20310,155,2.5,11.09,27.1,7.34,
ID,2019,1,3,11,20311,41,2.2,11.12,28.0,7.04,
ID,2019,1,3,12,20312,151,2.1,16.65,28.7,6.95,
ID,2019,1,3,13,20313,150,2.4,18.78,25.7,8.56,
ID,2019,1,3,14,20314,201,2.4,17.61,28.5,6.47,
ID,2019,1,3,15,20315,195,2.3,18.50,27.9,8.47,
ID,2019,1,3,16,20316,108,2.4,19.49,28.5,8.69,
ID,2019,1,3,17,20317,162,2.4,17.03,32.0,6.91,
ID,2019,1,3,18,20318,60,2.3,18.87,27.9,7.77,
ID,2019,1,3,19,20319,134,2.2,19.76,25.5,5.60,
ID,2019,1,3,20,20320,202,2.2,16.40,27.0,8.12,
ID,2019,1,4,1,20401,34,2.3,16.95,31.1,7.12,
ID,2019,1,4,2,20402,97,2.1,17.06,28.4,7.21,
ID,2019,1,4,3,20403,56,2.1,20.24,30.7,7.60,
ID,2019,1,4,4,20404,23,2.1,17.69,26.9,7.30,
ID,2019,1,4,5,20405,202,2.5,18.35,24.6,7.60,
ID,2019,1,4,6,20406,129,2.3,16.25,28.4,7.77,
ID,2019,1,4,7,20407,187,2.6,19.17,24.3,7.21,
ID,2019,1,4,8,20408,111,2.5,18.04,30.3,7.38,
ID,2019,1,4,9,20409,76,2.2,17.65,28.1,7.08,
ID,2019,1,4,10,20410,158,2.5,18.35,27.0,6.86,
ID,2019,1,4,11,20411,201,2.5,18.57,27.5,8.12,
ID,2019,1,4,12,20412,39,2.2,16.22,30.0,7.25,
ID,2019,1,4,13,20413,87,2.6,18.28,32.4,6.12,
ID,2019,1,4,14,20414,172,2.2,15.70,27.5,8.64,
ID,2019,1,4,15,20415,157,2.5,17.29,28.5,8.25,
ID,2019,1,4,16,20416,169,2.8,15.67,22.6,6.04,
ID,2019,1,4,17,20417,177,2.3,16.91,30.5,7.56,
ID,2019,1,4,18,20418,22,2.0,16.86,32.0,7.17,
ID,2019,1,4,19,20419,61,2.9,18.98,24.7,7.34,
ID,2019,1,4,20,20420,180,2.6,19.56,31.0,7.51,
ID,2019,1,5,1,20501,152,2.4,18.01,26.4,8.60,
ID,2019,1,5,2,20502,202,2.5,18.75,29.8,6.95,
ID,2019,1,5,3,20503,148,2.6,18.10,30.5,8.90,
ID,2019,1,5,4,20504,201,2.5,18.04,28.3,7.86,
ID,2019,1,5,5,20505,85,2.3,15.35,29.5,7.30,
ID,2019,1,5,6,20506,193,2.4,18.78,32.6,7.99,
ID,2019,1,5,7,20507,79,2.1,15.18,28.4,7.73,
ID,2019,1,5,8,20508,89,2.4,18.61,33.0,7.34,
ID,2019,1,5,9,20509,2,2.2,19.46,31.0,7.60,
ID,2019,1,5,10,20510,73,2.1,19.04,25.4,5.39,
ID,2019,1,5,11,20511,196,2.5,18.56,33.2,7.08,
ID,2019,1,5,12,20512,119,2.1,16.35,27.9,6.08,
ID,2019,1,5,13,20513,59,2.2,17.71,27.3,6.95,
ID,2019,1,5,14,20514,9,2.1,16.26,28.9,7.30,
ID,2019,1,5,15,20515,63,2.2,16.87,29.1,6.73,
ID,2019,1,5,16,20516,125,2.0,15.64,27.4,8.12,
ID,2019,1,5,17,20517,122,2.0,17.63,29.1,6.99,
ID,2019,1,5,18,20518,138,2.1,16.66,28.5,7.86,
ID,2019,1,5,19,20519,191,2.5,18.79,26.7,8.25,
ID,2019,1,5,20,20520,183,2.3,18.59,26.9,7.90,
ID,2019,1,6,1,20601,3,2.3,18.67,25.2,6.91,
ID,2019,1,6,2,20602,26,2.4,18.67,28.2,6.12,
ID,2019,1,6,3,20603,8,2.0,17.53,25.4,7.86,
ID,2019,1,6,4,20604,133,2.2,16.09,24.9,5.86,
ID,2019,1,6,5,20605,96,2.3,17.50,29.6,7.86,
ID,2019,1,6,6,20606,64,2.3,16.98,25.5,7.64,
ID,2019,1,6,7,20607,42,2.5,16.58,30.8,6.86,
ID,2019,1,6,8,20608,145,2.3,17.35,29.7,7.34,
ID,2019,1,6,9,20609,10,2.4,16.64,28.9,7.73,
ID,2019,1,6,10,20610,74,2.2,17.93,29.1,7.38,
ID,2019,1,6,11,20611,167,2.1,17.83,25.7,8.64,
ID,2019,1,6,12,20612,188,2.1,16.77,31.7,7.17,
ID,2019,1,6,13,20613,69,2.1,18.96,30.1,8.12,
ID,2019,1,6,14,20614,4,2.2,17.93,28.4,7.51,
ID,2019,1,6,15,20615,201,2.4,17.96,28.5,8.03,
ID,2019,1,6,16,20616,202,2.4,17.35,29.1,7.69,
ID,2019,1,6,17,20617,153,2.4,16.72,29.1,7.30,
ID,2019,1,6,18,20618,112,2.4,16.63,26.8,7.73,
ID,2019,1,6,19,20619,30,2.1,16.46,26.8,6.30,
ID,2019,1,6,20,20620,83,2.2,16.99,26.8,6.99,
ID,2019,1,7,1,20701,184,2.6,16.11,32.6,8.95,
ID,2019,1,7,2,20702,170,2.7,15.65,29.1,8.12,
ID,2019,1,7,3,20703,47,2.5,16.65,28.9,7.73,
ID,2019,1,7,4,20704,57,2.3,13.80,27.0,7.73,
ID,2019,1,7,5,20705,88,2.0,15.73,33.7,5.86,
ID,2019,1,7,6,20706,113,2.4,16.48,28.5,7.56,
ID,2019,1,7,7,20707,93,2.4,16.14,26.1,8.08,
ID,2019,1,7,8,20708,7,2.7,14.68,26.5,5.95,
ID,2019,1,7,9,20709,36,2.1,14.04,28.0,7.82,
ID,2019,1,7,10,20710,165,2.2,15.00,27.3,8.03,
ID,2019,1,7,11,20711,140,2.1,15.22,33.1,7.38,
ID,2019,1,7,12,20712,107,2.1,16.23,28.3,8.34,
ID,2019,1,7,13,20713,182,2.3,17.83,30.0,8.43,
ID,2019,1,7,14,20714,202,2.5,14.44,33.7,7.64,
ID,2019,1,7,15,20715,71,2.2,14.87,30.9,7.56,
ID,2019,1,7,16,20716,198,2.1,17.26,33.0,6.73,
ID,2019,1,7,17,20717,192,2.3,15.97,32.8,8.51,
ID,2019,1,7,18,20718,65,2.2,17.34,32.5,6.43,
ID,2019,1,7,19,20719,190,2.4,17.73,28.7,7.51,
ID,2019,1,7,20,20720,201,2.3,15.30,35.3,7.08,
ID,2019,1,8,1,20801,135,2.4,15.87,30.8,7.17,
ID,2019,1,8,2,20802,117,2.0,16.23,31.0,7.47,
ID,2019,1,8,3,20803,21,2.3,16.79,27.9,6.82,
ID,2019,1,8,4,20804,185,2.1,16.68,27.8,7.69,
ID,2019,1,8,5,20805,20,2.1,16.87,32.0,8.25,
ID,2019,1,8,6,20806,114,2.1,17.19,29.1,7.34,
ID,2019,1,8,7,20807,176,2.2,14.47,27.3,8.21,
ID,2019,1,8,8,20808,46,2.4,14.20,32.9,5.21,
ID,2019,1,8,9,20809,81,2.2,15.93,28.7,5.08,
ID,2019,1,8,10,20810,171,2.4,17.71,27.8,7.82,
ID,2019,1,8,11,20811,201,2.7,17.87,28.5,7.99,
ID,2019,1,8,12,20812,194,2.6,17.67,28.2,7.12,
ID,2019,1,8,13,20813,11,2.0,16.46,27.2,9.16,
ID,2019,1,8,14,20814,45,2.1,16.81,26.2,7.08,
ID,2019,1,8,15,20815,163,2.3,16.90,27.3,7.34,
ID,2019,1,8,16,20816,202,2.5,16.46,28.7,7.47,
ID,2019,1,8,17,20817,141,2.2,18.30,29.8,6.82,
ID,2019,1,8,18,20818,49,2.1,15.34,30.6,7.60,
ID,2019,1,8,19,20819,143,2.2,16.98,28.2,7.12,
ID,2019,1,8,20,20820,19,2.5,16.05,28.2,6.25,
ID,2019,1,9,1,20901,1,2.2,16.52,32.9,8.38,
ID,2019,1,9,2,20902,123,2.3,17.61,28.0,8.21,
ID,2019,1,9,3,20903,35,2.3,17.67,26.5,8.30,
ID,2019,1,9,4,20904,86,2.1,14.69,26.7,6.91,
ID,2019,1,9,5,20905,27,2.1,16.87,28.9,7.86,
ID,2019,1,9,6,20906,131,2.2,18.29,30.0,7.43,
ID,2019,1,9,7,20907,181,2.8,19.25,33.6,7.38,
ID,2019,1,9,8,20908,70,2.2,19.59,28.9,6.60,
ID,2019,1,9,9,20909,14,2.3,18.30,31.6,7.08,
ID,2019,1,9,10,20910,121,2.2,17.53,28.9,6.60,
ID,2019,1,9,11,20911,106,2.7,18.38,32.4,7.14,
ID,2019,1,9,12,20912,53,2.5,17.98,29.7,6.58,
ID,2019,1,9,13,20913,201,2.3,15.98,31.0,7.17,
ID,2019,1,9,14,20914,38,2.3,17.29,31.0,6.08,
ID,2019,1,9,15,20915,115,2.2,17.53,30.9,7.43,
ID,2019,1,9,16,20916,5,2.5,19.52,31.2,6.69,
ID,2019,1,9,17,20917,160,2.6,19.92,25.0,9.25,
ID,2019,1,9,18,20918,175,2.2,18.24,28.1,10.73,
ID,2019,1,9,19,20919,202,2.7,18.67,26.5,8.38,
ID,2019,1,9,20,20920,118,2.3,16.29,33.6,6.25,
ID,2019,1,10,1,21001,105,,,,,
ID,2019,1,10,2,21002,58,2.3,17.90,28.0,4.95,
ID,2019,1,10,3,21003,62,2.9,19.10,31.9,5.17,
ID,2019,1,10,4,21004,201,2.3,17.62,28.7,6.82,
ID,2019,1,10,5,21005,95,2.4,17.11,28.3,8.82,
ID,2019,1,10,6,21006,82,2.2,18.95,26.8,6.69,
ID,2019,1,10,7,21007,12,2.3,18.06,25.2,,
ID,2019,1,10,8,21008,128,2.4,16.76,30.7,7.69,
ID,2019,1,10,9,21009,136,2.5,17.52,26.4,8.12,
ID,2019,1,10,10,21010,101,2.3,17.94,30.7,6.56,
ID,2019,1,10,11,21011,98,2.4,19.57,29.5,8.30,
ID,2019,1,10,12,21012,142,2.1,16.39,23.6,6.21,
ID,2019,1,10,13,21013,202,2.4,17.92,28.7,9.42,
ID,2019,1,10,14,21014,139,2.6,16.21,29.5,8.82,
ID,2019,1,10,15,21015,52,2.7,17.22,28.0,7.56,
ID,2019,1,10,16,21016,37,2.4,17.04,28.7,5.99,
ID,2019,1,10,17,21017,77,2.4,16.64,27.2,5.43,
ID,2019,1,10,18,21018,116,2.3,18.72,31.4,6.60,
ID,2019,1,10,19,21019,13,2.4,17.24,27.2,8.21,
ID,2019,1,10,20,21020,124,2.4,14.85,23.4,6.91,
ID,2019,1,11,1,21101,189,2.9,20.29,31.6,9.12,
ID,2019,1,11,2,21102,17,2.1,19.15,28.1,6.60,
ID,2019,1,11,3,21103,197,2.7,20.29,30.2,7.99,
ID,2019,1,11,4,21104,201,2.7,19.57,25.6,5.86,
ID,2019,1,11,5,21105,156,2.7,18.30,31.6,6.38,
ID,2019,1,11,6,21106,25,2.2,19.28,26.7,4.73,
ID,2019,1,11,7,21107,173,2.4,17.64,31.6,8.73,
ID,2019,1,11,8,21108,84,2.1,18.79,28.3,8.03,
ID,2019,1,11,9,21109,202,2.5,19.44,30.4,7.60,
ID,2019,1,11,10,21110,94,2.7,21.06,26.5,8.86,
ID,2019,1,11,11,21111,146,2.5,19.48,32.0,7.43,
ID,2019,1,11,12,21112,18,2.5,18.40,32.0,6.43,
ID,2019,1,11,13,21113,55,2.2,19.32,34.6,6.51,
ID,2019,1,11,14,21114,31,2.2,17.24,29.1,7.30,
ID,2019,1,11,15,21115,24,2.1,17.16,28.7,6.82,
ID,2019,1,11,16,21116,99,2.6,17.51,25.6,6.25,
ID,2019,1,11,17,21117,137,2.0,18.91,28.3,6.69,
ID,2019,1,11,18,21118,67,3.0,20.47,24.4,6.56,
ID,2019,1,11,19,21119,50,2.5,18.88,26.0,6.38,
ID,2019,1,11,20,21120,32,2.4,18.25,27.6,5.99,