merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA_2018_1,WA,1,1,10101,123,1,4,2018,1,4.1,18.75,19,3.31,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,2,10102,29,1,3,2018,1,4.8,20.73,21,3.32,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,3,10103,162,1,2,2018,1,3.8,20.48,21,4.84,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,4,10104,201,1,1,2018,1,5.2,20.98,24,5.22,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,5,10105,126,2,4,2018,1,5,21.12,20,3.71,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,6,10106,191,2,3,2018,1,4.2,22.66,23,3.91,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,7,10107,159,2,2,2018,1,3.7,19.26,24,3.95,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,8,10108,139,2,1,2018,1,2.7,19.86,23,5.15,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,9,10109,77,3,4,2018,1,4.1,20.85,20,3.15,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,10,10110,69,3,3,2018,1,3,20.83,29,3.66,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,11,10111,121,3,2,2018,1,4,20.95,24,4.11,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,12,10112,84,3,1,2018,1,3.7,19.31,23,4.88,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,13,10113,133,4,4,2018,1,4.5,20.91,24,3.26,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,14,10114,125,4,3,2018,1,4,21.52,20,4.14,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,15,10115,202,4,2,2018,1,4.4,20.36,23,4.45,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,16,10116,32,4,1,2018,1,4.4,20.93,23,5.74,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,17,10117,37,5,4,2018,1,5,20.58,22,3.17,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,18,10118,13,5,3,2018,1,4.1,20.69,23,4.26,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,19,10119,116,5,2,2018,1,3,20.39,23,4.22,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,1,20,10120,164,5,1,2018,1,3.9,20.03,24,5.36,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA_2018_1,WA,2,1,10201,35,6,4,2018,1,5.3,20.78,21,2.68,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,2,10202,146,6,3,2018,1,4.3,21.32,26,4.04,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,3,10203,43,6,2,2018,1,4,19.89,23,4.33,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,4,10204,24,6,1,2018,1,3.4,20.44,23,5.32,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,5,10205,202,7,4,2018,1,5.2,21.04,25,3.26,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,6,10206,104,7,3,2018,1,4.2,20.91,24,4.3,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,7,10207,76,7,2,2018,1,3.8,20.03,24,4.65,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,8,10208,107,7,1,2018,1,4.4,21.36,25,5.04,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,9,10209,158,8,4,2018,1,4.9,19.18,21,3.56,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,10,10210,195,8,3,2018,1,3.6,20.29,24,3.66,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,11,10211,78,8,2,2018,1,5.4,19.73,23,4.52,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,12,10212,3,8,1,2018,1,3.5,21.57,30,5.94,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,13,10213,82,9,4,2018,1,5,22.14,25,4.39,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,14,10214,201,9,3,2018,1,4.5,18.08,24,3.58,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,15,10215,34,9,2,2018,1,3,21.13,23,4.62,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,16,10216,156,9,1,2018,1,5.1,20.16,27,5.41,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,17,10217,6,10,4,2018,1,4.6,22.87,29,4.4,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,18,10218,52,10,3,2018,1,3.6,20.69,19,4.06,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,19,10219,90,10,2,2018,1,2.7,20.57,20,4.42,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,2,20,10220,140,10,1,2018,1,2.9,21.81,21,5.62,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA_2018_1,WA,3,1,10301,91,11,4,2018,1,4.7,21.17,23,3.57,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,2,10302,201,11,3,2018,1,4.8,19.67,22,4.34,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,3,10303,40,11,2,2018,1,4.3,19.95,23,4.54,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,4,10304,177,11,1,2018,1,4.9,19.12,21,5.64,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,5,10305,119,12,4,2018,1,4.7,22.4,20,3.67,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,6,10306,189,12,3,2018,1,4.8,19.43,24,4.45,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,7,10307,145,12,2,2018,1,4.6,19.39,23,4.67,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,8,10308,186,12,1,2018,1,4.6,20.83,26,4.84,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,9,10309,114,13,4,2018,1,4.8,22.81,22,3.16,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,10,10310,50,13,3,2018,1,4.5,19.8,22,4.06,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,11,10311,111,13,2,2018,1,3.8,19.32,23,4.43,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,12,10312,202,13,1,2018,1,4.8,19.05,23,5.13,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,13,10313,66,14,4,2018,1,4.5,20.79,21,3.08,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,14,10314,12,14,3,2018,1,3.7,20.33,19,3.63,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,15,10315,197,14,2,2018,1,3.6,20.37,25,4.21,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,16,10316,185,14,1,2018,1,4.2,20.42,25,5.82,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,17,10317,26,15,4,2018,1,5.2,21.03,24,3.8,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,18,10318,182,15,3,2018,1,4.4,20.23,24,4.68,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,19,10319,33,15,2,2018,1,4.1,22.03,20,4.28,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,3,20,10320,36,15,1,2018,1,4.5,21.83,23,5.3,NA,4.34,5.13,22,23,19.67,19.05,4.8,4.8
WA_2018_1,WA,4,1,10401,149,16,4,2018,1,4.6,19.96,25,3.99,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,2,10402,115,16,3,2018,1,3.9,20.34,24,4.25,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,3,10403,136,16,2,2018,1,3.3,19.59,23,4.15,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,4,10404,22,16,1,2018,1,3.4,21.84,23,4.13,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,5,10405,53,17,4,2018,1,3.9,19.98,23,3.43,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,6,10406,165,17,3,2018,1,4.1,19.04,23,4.37,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,7,10407,202,17,2,2018,1,3.9,18.38,23,3.34,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,8,10408,56,17,1,2018,1,3.1,21.41,NA,NA,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,9,10409,73,18,4,2018,1,3.5,21.56,25,5.18,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,10,10410,131,18,3,2018,1,3.2,20.49,27,4.5,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,11,10411,89,18,2,2018,1,3.6,20.21,26,3.92,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,12,10412,94,18,1,2018,1,3.8,21.38,24,4.99,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,13,10413,201,19,4,2018,1,3.9,19.74,25,4.45,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,14,10414,190,19,3,2018,1,4.1,19.58,25,4.41,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,15,10415,68,19,2,2018,1,3.6,19.87,25,3.94,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,16,10416,196,19,1,2018,1,3.6,19.91,27,4.95,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,17,10417,100,20,4,2018,1,3.6,20.72,21,2.49,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,18,10418,120,20,3,2018,1,3.7,19.67,23,4.66,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,19,10419,61,20,2,2018,1,4.6,19.36,28,4.89,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,4,20,10420,179,20,1,2018,1,4,19.3,26,6.06,NA,4.45,3.34,25,23,19.74,18.38,3.9,3.9
WA_2018_1,WA,5,1,10501,124,21,4,2018,1,4,21.2,22,2.83,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,2,10502,174,21,3,2018,1,4.2,20.56,26,5.8,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,3,10503,128,21,2,2018,1,4.1,19.58,23,4.38,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,4,10504,103,21,1,2018,1,3.6,20.1,27,5.37,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,5,10505,181,22,4,2018,1,3.7,22.04,26,4.06,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,6,10506,108,22,3,2018,1,4.4,19.58,24,4.41,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,7,10507,14,22,2,2018,1,2.9,19.22,23,4.73,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,8,10508,201,22,1,2018,1,4.3,19.4,25,4.75,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,9,10509,127,23,4,2018,1,4.3,20.91,18,4,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,10,10510,17,23,3,2018,1,2.8,19.37,18,4.14,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,11,10511,172,23,2,2018,1,3.6,18.84,28,5.3,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,12,10512,23,23,1,2018,1,3.1,20.11,25,5.24,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,13,10513,99,24,4,2018,1,3.5,20.45,17,NA,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,14,10514,202,24,3,2018,1,3.4,19,21,3.39,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,15,10515,67,24,2,2018,1,3.6,19.87,24,4.15,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,16,10516,138,24,1,2018,1,4.4,21.16,23,4.15,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,17,10517,130,25,4,2018,1,4.1,20.98,22,NA,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,18,10518,87,25,3,2018,1,3.6,19.91,23,5.75,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,19,10519,161,25,2,2018,1,4,20.51,24,4.94,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,5,20,10520,106,25,1,2018,1,3.4,21.09,27,5.27,NA,4.75,3.39,25,21,19.4,19,4.3,3.4
WA_2018_1,WA,6,1,10601,188,26,4,2018,1,3.4,22.3,23,3.81,NA,3.67,3.55,23,26,23.06,17.67,4.2,3.8
WA_2018_1,WA,6,2,10602,151,26,3,2018,1,4.1,20.57,23,4.5,NA,3.67,3.55,23,26,23.06,17.67,4.2,3.8
WA_2018_1,WA,6,3,10603,19,26,2,2018,1,3.7,21.99,21,3.54,NA,3.67,3.55,23,26,23.06,17.67,4.2,3.8
WA_2018_1,WA,6,4,10604,202,26,1,2018,1,3.8,17.67,26,3.55,NA,3.67,3.55,23,26,23.06,17.67,4.2,3.8
WA_2018_1,WA,6,5,10605,154,27,4,2018,1,3.7,21.61,25,2.66,NA,3.67,3.55,23,26,23.06,17.67,4.2,3.8
WA_2018_1,WA,6,6,10606,5,27,3,2018,1,3.3,23.87,32,5.26,NA,3.67,3.55,23,26,23.06,17.67,4.2,3.8
WA_2018_1,WA,6,7,10607,80,27,2,2018,1,3.8,22.83,24,4.68,NA,3.67,3.55,23,26,23.06,17.67,4.2,3.8
WA_2018_1,WA,6,8,10608,176,27,1,2018,1,4.7,21.75,24,5.77,NA,3.67,3.55,23,26,23.06,17.67,4.2,3.8
